code	label_sv	comment_sv	label_en	term	rda_app_i_1_en	rda_app_i_2_en	rda_app_i_3_en
abr	Förkortad utgåva		Abridger		abridger		
acp	Konstkopist		Art copyist				
act	Skådespelare		Actor		actor		
adi	Art Director	"Jfr ""ard"" (konstnärlig ledare)"	Art Director		art director		
adp	Bearbetare		Adapter				
aft	Efterord, kolofon etc.		Author of afterword, colophon, etc.				
anl	Analytiker		Analyst				
anm	Animatör		Animator		animator		
ann	Annotation	Författare till handskrivna kommentarer på exemplaret	Annotator		annotator		
ant	Baserat på	"Bibliografisk föregångare; jfr ""ccp"" (idé, koncept)"	Bibliographic antecedent				
ape	Svarande part i appellationsdomstol		Appellee		appellee		
apl	Överklagande part i appellationsdomstol		Appellant		appellant		
app	Sökande		Applicant				
aqt	Citat, textudrag	Författare till citat etc. i utställningskataloger, fotografisamlingar etc.	Author in quotations or text abstracts				
arc	Arkitekt		Architect		architect		
ard	Konstnärlig ledare		Artistic director				
arr	Arrangemang	Musik	Arranger		arranger		
art	Konstnär		Artist		artist		
asg	Innehavare av tryckeri- eller utgivarlicens		Assignee				
asn	Associerat namn	Okänt samband	Associated name				
ato	Autograf/signatur	"Person vars signatur finns på exemplaret; jfr ""sgn"" (signatur)"	Autographer		autographer		
att	Attribuerat/tillskrivet namn		Attributed name				
auc	Auktionsförrättare		Auctioneer				
aud	Dialogförfattare	Film, ljudupptagningar	Author of dialog				
aui	Förord, introducerande material		Author of introduction		writer of introduction	writer of preface	writer of supplementary textual content
aus	Manusförfattare	Film	Screenwriter		screenwriter		
aut	Författare		Author		author		
bdd	Bokband	Bokbandsformgivare	Binding designer				
bjd	Skyddsomslag	"Formgivare av skyddsomslag; jfr ""cov"" (omslag)"	Bookjacket designer				
bkd	Bokformgivare		Book designer		book designer		
bkp	Bokproducent		Book producer				
blw	Förlags-/reklamtext	Författare till baksidestext, reklammaterial etc.	Blurb writer				
bnd	Bokbindare		Binder		binder		
bpd	Exlibris, bokägarmärke	Avser formgivaren	Bookplate designer				
brd	TV-/radioutsändning	Person etc. som arbetar med utsändning via TV, radio, webcast eller liknande	Broadcaster		broadcaster		
brl	Punktskriftspräglare		Braille embosser		braille embosser		
bsl	Bokhandlare		Bookseller				
cas	Gjutare		Caster		caster		
ccp	Idé, koncept	"Jfr ""ant"" (baserat på)"	Conceptor				
chr	Koreograf		Choreographer		choreographer	choreographer (expression)	
clb	Redaktionell medarbetare	"Obsolet; använd ""ctb"" (bidragsgivare)"	Collaborator				
cli	Klient		Client				
cll	Kalligraf		Calligrapher				
clr	Färg	Färgläggare av teckningar, tryck, fotografier, kartor, filmer etc.	Colorist				
clt	Ljustryck	Ljustryck = Plantrycksmetod för mångfaldigande utan raster av i huvudsak konstverk och fotografier	Collotyper		collotyper		
cmm	Kommentar	AV-medier	Commentator		commentator		
cmp	Kompositör, tonsättare		Composer		composer	composer (expression)	
cmt	Sättare		Compositor				
cnd	Dirigent		Conductor		conductor		
cng	Filmfotograf		Cinematographer		cirector of photography		
cns	Censor		Censor				
coe	Contestant -appellee	Juridisk term ung. motsvarande åklagare	Contestant -appellee				
col	Samlare		Collector		collector		
com	Sammanställare		Compiler		compiler		
con	Konservator		Conservator				
cor	Samlingsregistrator	"Förtecknare/inventerare av föremål eller exemplar som ingår i samlingsutställning/samlingsverk; Jfr ""cur"" (utställningsansvarig, utställningskommissarie)"	Collection registrar		collection registrar		
cos	Contestant	Juridisk term ung. motsvarande åklagare	Contestant				
cot	Contestant -appellant	Juridisk term ung. motsvarande åklagare	Contestant -appellant				
cou	Domstols regelverk		Court governed		court governed		
cov	Omslag	"Formgivare av bokomslag; jfr ""bjd"" (skyddsomslag)"	Cover designer				
cpc	Upphovsrättssökande		Copyright claimant				
cpe	Complainant-appellee	Juridisk term ung. motsvarande kärande, målsägande	Complainant-appellee				
cph	Upphovsrättsinnehavare		Copyright holder				
cpl	Complainant	Juridisk term ung. motsvarande kärande, målsägande	Complainant				
cpt	Complainant-appellant	Juridisk term ung. motsvarande kärande, målsägande	Complainant-appellant				
cre	Upphov/creator		Creator				
crp	Korrespondens		Correspondent				
crr	Handskriftskorrektur	"Jfr ""prf"" (korrekturläsare)"	Corrector				
crt	Domstolsreporter		Court reporter		court reporter		
csl	Konsult		Consultant		consultant		
csp	Projektkonsult		Consultant to a project				
cst	Kostym	Som skapar kostymer för teater-, dans- och musikföreställningar, samt för filmer	Costume designer		costume designer		
ctb	Bidragsgivare	Som bidrar med texter eller annat material till antologier, fortlöpande publikationer eller andra sammanställningar	Contributor				
cte	Contestee-appellee	Juridisk term ung. motsvarande försvarare	Contestee-appellee				
ctg	Kartograf		Cartographer		cartographer		
ctr	Entreprenör, leverantör		Contractor				
cts	Contestee	Juridisk term ung. motsvarande försvarare	Contestee				
ctt	Contestee-appellant	Juridisk term ung. motsvarande försvarare	Contestee-appellant				
cur	Utställningsansvarig, utställningskommissarie		Curator		curator		
cwt	Textkommentar		Commentator for written text				
dbp	Distributionsort		Distribution Place				
dfd	Defendant	Juridisk term ung. motsvarande tilltalad	Defendant		defendant		
dfe	Defendant-appellee	Juridisk term ung. motsvarande tilltalad	Defendant-appellee				
dft	Defendant-appellant	Juridisk term ung. motsvarande tilltalad	Defendant-appellant				
dgg	Utfärdare av akademisk examen		Degree granting institution		degree granting institution		
dis	Presentatör av avhandling		Dissertant				
dln	Utförare av teknisk ritning	"Person etc. som utför en teknisk ritning utifrån någon annans design; jfr ""drm"" (teknisk detaljritning)"	Delineator				
dnc	Dansare		Dancer		dancer		
dnr	Donator		Donor				
dpc	Avbildad		Depicted				
dpt	Deponerat av		Depositor				
drm	Teknisk detaljritning	"Jfr ""dln"" (utförare av teknisk ritning)"	Draftsman		draftsman		
drt	Regissör		Director		director		
dsr	Formgivare	"Jfr ""bdd"" (bokband), ""bjd"" (skyddsomslag), ""bkd"" (bokformgivare), ""tyd"" (typsnitt)"	Designer		designer		
dst	Distributör		Distributor				
dtc	Katalog- eller metadatakälla		Data contributor				
dte	Dedicerat till	"Jfr ""dto"" (dedikation, dvs den som författat dedikationen)"	Dedicatee		dedicatee	dedicatee of item	
dtm	Katalog- eller metadataansvarig		Data manager				
dto	Dedikation	"Jfr ""dte"" (dedicerat till)"	Dedicator				
dub	Tvivelaktigt/felaktigt tillskriven		Dubious author				
edc	Sammanställande redaktör	"Jfr ""edt"" (reaktör)"	Editor of compilation		editor of compilation		
edm	Film-/videoreadktör		Editor of moving image work		editor of moving image work		
edt	Redaktör	"Jfr ""edc"" (sammanställande reaktör)"	Editor		editor		
egr	Gravör	Gravyr = Grafisk tryckmetod där bilden eller texten ristas på en hård yta av t.ex. trä eller metall	Engraver		engraver		
elg	Elektriker		Electrician				
elt	Elektrotypi	Elektrotypi = Metod för att använda klichéer inom boktryckarkonsten	Electrotyper				
eng	Ingenjör		Engineer				
enj	Verkställande jurisdiktion	"Jfr ""jug"" (tillämplig jurisdiktion)"	Enacting jurisdiction		enacting jurisdiction		
etr	Etsare	Etsning = Grafisk djuptrycksmetod där de färgbärande nedsänkta partierna i plåten åstadkoms med hjälp av frätande vätskor	Etcher		etcher		
evp	Plats/ort för händelse		Event place				
exp	Expert		Expert				
fac	Faksimil	Person etc. som gjort faksimilutgåvan	Facsimilist				
fds	Filmdistributör		Film distributor		film distributor		
fld	Fältchef		Field director				
flm	Filmredaktör		Film editor				
fmd	Filmregissör		Film director		film director		
fmk	Oberoende filmskapare	Avser produktion av independent- eller Indiefilm	Filmmaker		filmmaker		
fmo	Tidigare ägare		Former owner		former owner		
fmp	Filmproducent		Film producer				
fnd	Finansiär		Funder				
fpy	Första part	"Första eller enda parten i ett fördrag, en överenskommelse eller annan händelse; vid överlåtelse av rättigheter betraktas överlåtaren, licensutfärdaren, etc., som första part"	First party				
frg	Förfalskare		Forger				
gis	GIS-specialist	Geografisk information	Geographic information specialist				
grt	Grafisk tekniker	"Obsolet; använd ""art"" (konstnär)"	Graphic technician				
his	Värdinstitution		Host institution		host institution		
hnr	Festksriftsföremål	Hit även person etc. som på annat sätt hedrats i verket eller exemplaret	Honoree		honouree of item		
hst	Programvärd, programledare		Host		host		
ill	Illustratör		Illustrator		illustrator		
ilu	Illuminatör	Färglagda initialer, randornament, bilder eller annan utsmyckande illustration i främst medeltida handskrifter	Illuminator		illuminator		
ins	Inskription	Författare till inskription, eller person vars namn eller signatur förekommer tillsammans med uppgift om samband (t.ex. proveniens) i exemplaret	Inscriber		inscriber		
inv	Uppfinnare		Inventor		inventor		
isb	Utgivande instans		Issuing body		issuing body		
itr	Instrumentalist		Instrumentalist		instrumentalist		
ive	Intervjuobjekt		Interviewee		interviewee	interviewee (expression)	
ivr	Intervjuare		Interviewer		interviewer	interviewer (expression)	
jud	Domare		Judge		judge		
jug	Tillämplig jurisdiktion	"Jurisdiktion vars lagar etc. verkställs av annan instans; jfr ""enj"" (verkställande jurisdiktion)"	Jurisdiction governed		jurisdiction governed		
lbr	Laboratorium		Laboratory				
lbt	Librettist		Librettist		librettist		
ldr	Laboratoriechef		Laboratory director				
led	Chef, ledare		Lead				
lee	Libellee-appellee	Juridisk term ung. motsvarande svarande, tilltalad	Libellee-appellee				
lel	Libellee	Juridisk term ung. motsvarande svarande, tilltalad	Libellee				
len	Utlånare	Instans som har långat ut eller medgivit utlåning för t.ex. kopiering eller mikrofilmining	Lender				
let	Libelee-appellant	Juridisk term ung. motsvarande svarande, tilltalad	Libelee-appellant				
lgd	Ljusdesigner, ljussättare		Lighting designer				
lie	Libelant-appellee 	Juridisk term ung. motsvarande kärande, målsägande	Libelant-appellee 				
lil	Libelant	Juridisk term ung. motsvarande kärande, målsägande	Libelant				
lit	Libelant-appellant	Juridisk term ung. motsvarande kärande, målsägande	Libelant-appellant				
lsa	Landskapsarkitekt		Landscape architect		landscape architect		
lse	Licensinnehavare		Licensee				
lso	Licensutfärdare		Licensor				
ltg	Litograf	Litografi = Grafisk plantrycksmetod som bygger på att tryckstenen absorberar fett och vatten, men att dessa stöter bort varandra	Lithographer		lithographer		
lyr	Sångtext	Sångtextförfattare	Lyricist		lyricist		
mcp	Musikkopist		Music copyist				
mdc	Metadataansvarig		Metadata contact				
mfp	Produktions-/tryckort		Manufacture place				
mfr	Fabrikant, tillverkare		Manufacturer				
mod	Moderator		Moderator		moderator		
mon	Övervakare, inspektör	Som har kontrollerat eller övervakat att ett uppdrag utförts enligt avtal eller överenskommelse	Monitor				
mrb	Marmorering	Person etc. ansvarig för marmoreringen	Marbler				
mrk	Metadatauppmärkare		Markup editor				
msd	Musikalisk ledare		Musical director		musical director		
mte	Metallgravör		Metal-engraver				
mus	Musiker		Musician				
nrt	Berättare, inläsare	Person som beskriver eller kommenterar handlingen eller specifika detaljer i en dokumentärfilm, teaterföreställning, etc. Hit även kåsörer och inläsare eller uppläsare av tal- och ljudböcker, etc	Narrator		narrator	voice actor	
opn	Opponent	Person som opponerar vid akademisk disputation	Opponent				
org	Ursprunglig upphovsman	Persone etc. associerad med verkets intellektuella innehåll	Originator				
orm	Mötesarrangör		Organizer of meetin				
osp	Introduktör/presentatör av faktafilm		Onscreen presenter		on-screen presenter		
oth	Medarbetare	Ospecificerad	Other	unspecifiedContributor			
own	Ägare		Owner		owner		
pan	Deltagare i paneldiskussion		Panelist		panelist		
pat	Mecenat		Patron				
pbd	Chefredaktör, huvudredaktör		Publishing director				
pbl	Utgivare		Publisher				
pdr	Projektchef, projektsamordnare		Project director				
pfr	Korrekturläsare	"Jfr ""crr"" (handskriftskorrektur)"	Proofreader				
pht	Fotograf		Photographer		photographer		
plt	Tryckplåtstillverkare		Platemaker		platemaker		
pma	Tillståndsgivande instans		Permitting agency				
pmn	Produktionsledning		Production manager				
pop	Tryckare av illustrationer	Person etc. som trycker illustrationer från plåtoriginal	Printer of plates				
ppm	Pappersmakare		Papermaker				
ppt	Marionettspelare		Puppeteer		puppeteer		
pra	Preses	"Handledare vid akademisk disputation; jfr ""ths"" (avhandlingshandledare)"	Praeses		praeses		
prc	Processansvarig		Process contact				
prd	Produktionspersonal		Production personnel				
pre	Filmpresentatör	"Omnämnd med ett ""X presenterar""-erkännande i samband med produktion, finansiering eller distribution av film"	Presenter		presenter		
prf	Framförande	Skådespelare, musiker etc.	Performer		performer		
prg	Programmerare		Programmer		programmer		
prm	Tryckmakare	Som har gjort ytan till reliefen, intatglion (djuptrycket) eller plantrycket	Printmaker		printmaker		
prn	Produktionsbolag		Production company		production company		
pro	Filmproducent		Producer		producer		
prp	Konstruktionsort		Production place				
prs	Produktionsdesigner		Production designer		production designer		
prt	Tryckare		Printer		printer		
prv	Leverantör		Provider				
pta	Patentsökande		Patent applicant				
pte	Plaintiff-appellee	Juridisk term ung. motsvarande kärande, målsägande	Plaintiff-appellee				
ptf	Plaintiff	Juridisk term ung. motsvarande kärande, målsägande	Plaintiff		plaintiff		
pth	Patentinnehavare		Patent holder				
ptt	Plaintiff-appellant	Juridisk term ung. motsvarande kärande, målsägande	Plaintiff-appellant				
pup	Utgivnings-/publikationsort		Publication place				
rbr	Rubricator	"Utförare av rubriker (ofta skrivna i rött) i medeltida handskrift; Rubricatorn kunde ibland även vara handskriftens huvudsaklige skrivare"	Rubricator				
rcd	Inspelning		Recordist		recordist		
rce	Inspelningstekniker		Recording engineer		recording engineer		
rcp	Mottagare av korrespondens		Addressee		addressee		
rdd	Radioregissör		Radio director				
red	Redigerare		Redaktor				
ren	Prototyp, visualisering		Renderer				
res	Forskare		Researcher				
rev	Recensent		Reviewer				
rpc	Radioproducent		Radio producer				
rps	Arkiv, repository		Repository				
rpt	Reporter, journalist		Reporter				
rpy	Ansvarig utgivare		Responsible party				
rse	Respondent-appellee	Juridisk term ung. motsvarande svarande, tilltalad	Respondent-appellee				
rsg	Bearbetare av sceniskt verk		Restager				
rsp	Respondent	"Kandidat som försvarar eller opponerar vid disputation av akademisk avhandling; jfr ""dis"" (presentatör av avhandling). Även juridisk term för svarande part i domstolsförhandling"	Respondent		respondent		
rsr	Restaturering	"Jfr ""con"" (konservator)"	Restorationist		restorationist		
rst	Respondent-appellant	Juridisk term ung. motsvarande svarande, tilltalad	Respondent-appellant				
rth	Chef för forskargrupp		Research team head				
rtm	Medlem av forskargrupp		Research team member				
sad	Vetenskaplig rådgivare		Scientific advisor				
sce	Scenario	Vanligen den person som skrev stumfilmsscenarier	Scenarist				
scl	Skulptör		Sculptor		sculptor		
scr	Skrivare, kopist		Scribe				
sds	Ljudproducent, ljudtekniker		Sound designer				
sec	Sekreterare		Secretary				
sgd	Scenregissör		Stage director		stage director		
sgn	Signatur	"Okänd proveniens; Jfr ""ato"" (autograf/signatur)"	Signer				
sht	Organiserat med stöd av		Supporting host				
sll	Försäljare		Seller				
sng	Sångare		Singer		singer		
spk	Röst, tal	Person som deltar med muntliga framföranden eller presentationer i t.ex. en ljudupptagning. Hit även röst i animerade filmer, dataspel, etc. 	Speaker		speaker		
spn	Sponsor		Sponsor		sponsor		
spy	Andra part	"Andra parten i ett fördrag, en överenskommelse eller annan händelse; vid överlåtelse betraktas den part till vilken rättigheterna, licensen, etc. har överlåtits som andra part"	Second party				
srv	Lantmätare		Surveyor		surveyor		
std	Scenograf		Set designer				
stg	Scensättning		Setting				
stl	Dramatisering		Storyteller		storyteller		
stm	Inspicient, regiassistent		Stage manager				
stn	Standardiseringsorgan		Standards body				
str	Sterotyper, klichéer		Stereotyper				
tcd	Teknisk chef		Technical director				
tch	Lärare		Teacher		teacher		
ths	Avhandlingshandledare	"Jfr ""pra"" (preses)"	Thesis advisor		degree supervisor		
tld	TV-regissör		Television director				
tlp	TV-producent		Television producer				
trc	Avskrivare		Transcriber		transcriber		
trl	Översättare	Hit även person/organisation som moderniserat äldre text	Translator		translator		
tyd	Typsnitt		Type designer				
tyg	Typograf	"Typsättning; kan kombineras med ""bkd"" (bokformgivare) om typografen även svarat för andra aspekter av boken formgivning"	Typographer				
uvp	Universitetsort		University place				
vdg	Videoproducent		Videographer				
voc	Vokalist	"Obsolet; använd ""sng"" (sångare)"	Vocalist				
wac	Analys, kommentar		Writer of added commentary		writer of added commentary	writer of supplementary textual content	
wal	Kompletterande text	Musik	Writer of added lyrics		writer of added lyrics	writer of supplementary textual content	
wam	Medföljande material	Audiovisuella medier	Writer of accompanying material				
wat	Kompletterande text	Icke-språkliga resurser	Writer of added text		writer of added text	writer of supplementary textual content	
wdc	Träsnidare	Träsnitt = grafisk högtrycksmetod där de upphöjda partierna på den plana delen av stocken bär själva bildytan	Woodcutter				
wde	Xylograf	Xylografi/trägravyr = grafisk reproduktionsmetod med utskurna träplattor som tryckform	Wood-engraver				
wit	Vittne		Witness				
9pu	Primärt upphovsansvarig	LIBRIS-definierad kod		primaryRightsHolder			
